Platform,PostType,PostContent,PostTimestamp,Date,WeekdayType,Time,TimePeriods,Likes,Comments,Shares,Impressions,Reach, EngagementRate ,AudienceAge,AgeGroup
Twitter,Video,Analysis very response answer near.,3/6/2024 4:11,3/6/2024 (Wednesday),Weekday,4:11:33,Night,894,467,14,3230,1393,64.54,22,Adolescent Adults
Facebook,Image,Continue serve concern but because his.,3/6/2024 4:11,3/6/2024 (Wednesday),Weekday,4:11:19,Night,272,233,24,9816,4520,23.98,61,Senior Adults
Instagram,Video,Exist field defense take discover mention owner sea.,3/6/2024 3:44,3/6/2024 (Wednesday),Weekday,3:44:05,Night,715,211,14,3616,2197,18.76,22,Adolescent Adults
Instagram,Image,Threat catch decide page light.,3/6/2024 3:43,3/6/2024 (Wednesday),Weekday,3:43:36,Night,672,266,82,1793,1309,25.62,36,Mature Adults
Twitter,Video,Early board between prepare husband become moment sit.,3/6/2024 3:40,3/6/2024 (Wednesday),Weekday,3:40:38,Night,276,116,103,5317,4611,96.91,40,Mature Adults
Facebook,Image,School safe deal parent but least.,3/6/2024 3:33,3/6/2024 (Wednesday),Weekday,3:33:28,Night,805,321,1,6110,4879,32.1,39,Mature Adults
Twitter,Video,Two sport accept weight force drive.,3/6/2024 3:12,3/6/2024 (Wednesday),Weekday,3:12:26,Night,484,241,85,6823,1856,22.64,62,Senior Adults
LinkedIn,Link,Manager term continue green.,3/6/2024 2:46,3/6/2024 (Wednesday),Weekday,2:46:37,Night,757,4,160,7924,3374,50.36,43,Mature Adults
Instagram,Video,Contain bill especially others.,3/6/2024 2:38,3/6/2024 (Wednesday),Weekday,2:38:47,Night,69,363,21,4041,3372,58.11,49,Senior Adults
Facebook,Video,Pull large value generation project use since wide.,3/6/2024 2:29,3/6/2024 (Wednesday),Weekday,2:29:12,Night,298,237,75,7240,3673,146.31,48,Senior Adults
Instagram,Link,Point assume dream sing.,3/6/2024 2:22,3/6/2024 (Wednesday),Weekday,2:22:19,Night,811,147,116,5242,2190,36.97,61,Senior Adults
LinkedIn,Video,Woman help nothing red loss ball.,3/6/2024 1:37,3/6/2024 (Wednesday),Weekday,1:37:29,Night,214,416,108,3486,2651,126.69,55,Senior Adults
LinkedIn,Video,At technology ability couple reveal major church party.,3/6/2024 1:08,3/6/2024 (Wednesday),Weekday,1:08:24,Night,693,218,158,5689,739,37.44,20,Adolescent Adults
Twitter,Link,Ground arrive certain.,3/6/2024 1:02,3/6/2024 (Wednesday),Weekday,1:02:10,Night,179,322,41,2441,1584,25.34,41,Mature Adults
Facebook,Video,Newspaper billion officer support anyone throw today manage.,3/6/2024 1:01,3/6/2024 (Wednesday),Weekday,1:01:10,Night,191,129,197,8405,4485,99.68,46,Senior Adults
LinkedIn,Image,Floor next do great since year allow.,3/6/2024 0:30,3/6/2024 (Wednesday),Weekday,0:30:32,Night,817,492,73,7994,3660,20.3,26,Adolescent Adults
Facebook,Video,Real stuff three almost car population.,3/6/2024 0:28,3/6/2024 (Wednesday),Weekday,0:28:57,Night,304,177,191,7773,4954,65.19,27,Adolescent Adults
LinkedIn,Image,Support production when trip.,3/6/2024 0:12,3/6/2024 (Wednesday),Weekday,0:12:01,Night,690,419,177,5846,542,37.26,32,Mature Adults
LinkedIn,Link,Guess own window general situation after model.,3/5/2024 23:45,3/5/2024 (Tuesday),Weekday,23:45:39,Night,0,146,187,3580,2084,18.59,18,Adolescent Adults
Instagram,Video,Food job tonight Democrat.,3/5/2024 23:42,3/5/2024 (Tuesday),Weekday,23:42:56,Night,169,37,28,2764,941,19.43,43,Mature Adults
Twitter,Image,Order which certain military authority home.,3/5/2024 23:37,3/5/2024 (Tuesday),Weekday,23:37:25,Night,214,409,159,8437,4830,21.46,55,Senior Adults
Twitter,Video,This term center its actually success late.,3/5/2024 23:32,3/5/2024 (Tuesday),Weekday,23:32:34,Night,311,480,130,4071,1347,53.73,56,Senior Adults
LinkedIn,Image,Process vote news.,3/5/2024 23:09,3/5/2024 (Tuesday),Weekday,23:09:31,Night,158,431,160,7788,1185,33.89,26,Adolescent Adults
LinkedIn,Image,Rate action pressure others serve future body attention.,3/5/2024 23:00,3/5/2024 (Tuesday),Weekday,23:00:57,Night,718,329,171,9568,911,81.81,50,Senior Adults
Facebook,Video,Hotel opportunity picture game marriage bed.,3/5/2024 22:45,3/5/2024 (Tuesday),Weekday,22:45:09,Night,177,20,167,7228,1530,21.51,26,Adolescent Adults
Twitter,Image,Mrs agreement analysis person political.,3/5/2024 22:29,3/5/2024 (Tuesday),Weekday,22:29:21,Night,180,130,163,3750,3153,86.12,54,Senior Adults
LinkedIn,Video,Note agreement fast everybody design apply beautiful.,3/5/2024 21:14,3/5/2024 (Tuesday),Weekday,21:14:06,Evening,546,44,14,7515,4345,35.32,44,Mature Adults
Facebook,Video,Some there best many office meeting.,3/5/2024 21:06,3/5/2024 (Tuesday),Weekday,21:06:24,Evening,535,491,41,3421,1010,29.57,40,Mature Adults
Twitter,Link,Any less career design traditional.,3/5/2024 20:59,3/5/2024 (Tuesday),Weekday,20:59:51,Evening,407,377,95,6638,2342,198.38,21,Adolescent Adults
Twitter,Link,Hotel treat candidate actually.,3/5/2024 20:40,3/5/2024 (Tuesday),Weekday,20:40:15,Evening,721,266,94,4576,2616,55.79,46,Senior Adults
Instagram,Video,Itself forget attention tell star.,3/5/2024 20:36,3/5/2024 (Tuesday),Weekday,20:36:11,Evening,407,150,64,8317,2990,63.53,25,Adolescent Adults
Twitter,Video,Night amount fly meeting.,3/5/2024 20:10,3/5/2024 (Tuesday),Weekday,20:10:40,Evening,211,232,119,4088,3531,47.99,24,Adolescent Adults
Instagram,Image,Play crime skin perform.,3/5/2024 20:03,3/5/2024 (Tuesday),Weekday,20:03:24,Evening,415,42,95,7817,3827,34.86,56,Senior Adults
Facebook,Video,Such itself either read.,3/5/2024 18:49,3/5/2024 (Tuesday),Weekday,18:49:31,Evening,636,429,166,4295,2289,29.36,33,Mature Adults
Instagram,Image,Finish middle true image.,3/5/2024 18:33,3/5/2024 (Tuesday),Weekday,18:33:09,Evening,263,73,73,6407,1229,128.73,29,Adolescent Adults
LinkedIn,Link,Ok well building article just.,3/5/2024 18:21,3/5/2024 (Tuesday),Weekday,18:21:24,Evening,824,330,182,2479,2093,63.86,29,Adolescent Adults
Instagram,Link,Sister wall data.,3/5/2024 17:39,3/5/2024 (Tuesday),Weekday,17:39:38,Afternoon,937,268,132,6053,2444,110.02,46,Senior Adults
Instagram,Link,Around together few eye short start.,3/5/2024 17:37,3/5/2024 (Tuesday),Weekday,17:37:23,Afternoon,170,32,58,7123,2626,68.52,26,Adolescent Adults
Twitter,Image,White group join recent.,3/5/2024 17:32,3/5/2024 (Tuesday),Weekday,17:32:56,Afternoon,992,11,159,7103,2225,30.14,52,Senior Adults
Instagram,Link,Another exactly team structure city.,3/5/2024 17:19,3/5/2024 (Tuesday),Weekday,17:19:33,Afternoon,62,360,188,8405,3294,45.7,45,Mature Adults
Instagram,Link,Country fly cup push traditional trip avoid.,3/5/2024 16:46,3/5/2024 (Tuesday),Weekday,16:46:14,Afternoon,414,15,13,4496,1865,98.71,29,Adolescent Adults
Instagram,Image,Go skill then talk.,3/5/2024 15:37,3/5/2024 (Tuesday),Weekday,15:37:52,Afternoon,637,114,49,2777,1862,11.7,64,Senior Adults
LinkedIn,Link,Force information billion price western upon debate.,3/5/2024 15:37,3/5/2024 (Tuesday),Weekday,15:37:42,Afternoon,944,328,88,8193,1890,42.79,34,Mature Adults
LinkedIn,Image,Do show action TV.,3/5/2024 15:02,3/5/2024 (Tuesday),Weekday,15:02:48,Afternoon,755,451,23,4909,1223,77.92,62,Senior Adults
Instagram,Video,Price call end begin.,3/5/2024 14:58,3/5/2024 (Tuesday),Weekday,14:58:57,Afternoon,140,76,46,9520,4590,10.74,39,Mature Adults
Twitter,Video,She thank second consumer charge actually.,3/5/2024 14:13,3/5/2024 (Tuesday),Weekday,14:13:34,Afternoon,783,239,188,9343,1387,23.1,19,Adolescent Adults
Instagram,Image,High development work show project fund.,3/5/2024 13:57,3/5/2024 (Tuesday),Weekday,13:57:06,Afternoon,183,218,114,5863,3041,43.64,25,Adolescent Adults
LinkedIn,Link,Apply large race husband rest gun.,3/5/2024 13:04,3/5/2024 (Tuesday),Weekday,13:04:51,Afternoon,853,261,137,4336,1182,27.3,34,Mature Adults
Instagram,Video,Several information six reduce message hear world.,3/5/2024 12:47,3/5/2024 (Tuesday),Weekday,12:47:56,Afternoon,499,68,116,4885,1615,13.43,62,Senior Adults
Facebook,Link,Ahead may half affect middle.,3/5/2024 12:20,3/5/2024 (Tuesday),Weekday,12:20:04,Afternoon,379,316,89,2312,1254,16.61,55,Senior Adults
Facebook,Video,Record onto peace fund weight.,3/5/2024 12:16,3/5/2024 (Tuesday),Weekday,12:16:30,Afternoon,125,56,86,3715,2306,49.04,65,Senior Adults
Instagram,Video,Member great serve small ability.,3/5/2024 12:01,3/5/2024 (Tuesday),Weekday,12:01:36,Afternoon,315,188,42,5619,662,27.84,18,Adolescent Adults
Twitter,Link,Particular arm manager eat executive food itself ability.,3/5/2024 12:01,3/5/2024 (Tuesday),Weekday,12:01:22,Afternoon,296,185,103,8713,2915,144.65,39,Mature Adults
Instagram,Video,Account age us financial brother across hospital.,3/5/2024 10:58,3/5/2024 (Tuesday),Weekday,10:58:37,Morning,364,96,53,1590,551,34.22,27,Adolescent Adults
Instagram,Image,Include particular top picture ready property.,3/5/2024 10:56,3/5/2024 (Tuesday),Weekday,10:56:09,Morning,110,359,172,2913,1049,11.53,42,Mature Adults
LinkedIn,Image,Me fear student per rather cultural.,3/5/2024 10:51,3/5/2024 (Tuesday),Weekday,10:51:09,Morning,506,367,95,9061,2614,37.76,53,Senior Adults
Twitter,Link,Hand television group as time.,3/5/2024 10:46,3/5/2024 (Tuesday),Weekday,10:46:29,Morning,146,380,121,5159,3879,13.56,38,Mature Adults
Facebook,Link,Same training authority business hit.,3/5/2024 10:16,3/5/2024 (Tuesday),Weekday,10:16:32,Morning,158,436,15,4416,4049,237.27,59,Senior Adults
LinkedIn,Video,Talk personal base.,3/5/2024 9:42,3/5/2024 (Tuesday),Weekday,9:42:20,Morning,272,304,14,3850,2470,15.98,24,Adolescent Adults
Twitter,Video,During system help capital several.,3/5/2024 9:37,3/5/2024 (Tuesday),Weekday,9:37:44,Morning,495,321,15,9140,3588,24.87,20,Adolescent Adults
Facebook,Video,Describe bit town politics should.,3/5/2024 9:34,3/5/2024 (Tuesday),Weekday,9:34:29,Morning,2,12,134,9396,1899,16.19,40,Mature Adults
Facebook,Link,Economy board its investment market window.,3/5/2024 9:29,3/5/2024 (Tuesday),Weekday,9:29:14,Morning,126,187,12,4190,1996,68.37,26,Adolescent Adults
LinkedIn,Image,Meet start wear political.,3/5/2024 8:50,3/5/2024 (Tuesday),Weekday,8:50:28,Morning,43,233,155,6405,1380,63.21,27,Adolescent Adults
Instagram,Link,Build fine then western myself particularly person.,3/5/2024 8:46,3/5/2024 (Tuesday),Weekday,8:46:22,Morning,600,292,32,4412,4105,133.7,61,Senior Adults
Twitter,Video,Agent leave sound including quality arm human.,3/5/2024 8:44,3/5/2024 (Tuesday),Weekday,8:44:55,Morning,138,10,34,4900,3309,23.79,19,Adolescent Adults
Twitter,Link,Stock sound artist guy community growth.,3/5/2024 8:43,3/5/2024 (Tuesday),Weekday,8:43:32,Morning,301,193,143,4163,4077,15,23,Adolescent Adults
Twitter,Link,Job for face clearly first take.,3/5/2024 8:31,3/5/2024 (Tuesday),Weekday,8:31:21,Morning,672,438,24,7661,3928,13.9,38,Mature Adults
Twitter,Video,Camera attack low theory month know offer.,3/5/2024 7:47,3/5/2024 (Tuesday),Weekday,7:47:00,Morning,192,43,71,4035,3044,105.64,46,Senior Adults
Instagram,Image,She clearly strong old discuss church spring note.,3/5/2024 7:20,3/5/2024 (Tuesday),Weekday,7:20:24,Morning,519,40,83,3612,1120,37.53,44,Mature Adults
Facebook,Link,Drive stop bed piece forget.,3/5/2024 7:20,3/5/2024 (Tuesday),Weekday,7:20:14,Morning,62,354,180,7593,2503,41.32,60,Senior Adults
Instagram,Image,Season green save guess last.,3/5/2024 7:17,3/5/2024 (Tuesday),Weekday,7:17:15,Morning,84,153,187,5585,1107,20.77,48,Senior Adults
Instagram,Link,Child wrong effect pattern Democrat product yet trade.,3/5/2024 7:09,3/5/2024 (Tuesday),Weekday,7:09:19,Morning,97,76,85,3129,3016,15.92,25,Adolescent Adults
Instagram,Video,Two but chair hundred image land.,3/5/2024 6:49,3/5/2024 (Tuesday),Weekday,6:49:23,Morning,110,478,52,4511,506,14.42,43,Mature Adults
Twitter,Image,Middle voice shake reality discuss.,3/5/2024 6:45,3/5/2024 (Tuesday),Weekday,6:45:45,Morning,450,211,67,4946,3935,53.78,64,Senior Adults
LinkedIn,Video,Third environment entire day machine.,3/5/2024 6:37,3/5/2024 (Tuesday),Weekday,6:37:22,Morning,474,85,172,9102,2816,33.28,28,Adolescent Adults
Twitter,Image,Official letter particular friend.,3/5/2024 6:29,3/5/2024 (Tuesday),Weekday,6:29:16,Morning,29,345,188,2516,2043,63.83,20,Adolescent Adults
Instagram,Image,Anything enough bad grow stock seven rule research.,3/5/2024 6:29,3/5/2024 (Tuesday),Weekday,6:29:00,Morning,136,332,75,8921,2896,54.71,39,Mature Adults
Twitter,Image,Quickly group pick no method free safe.,3/5/2024 6:28,3/5/2024 (Tuesday),Weekday,6:28:29,Morning,1000,349,16,9504,2279,9.9,58,Senior Adults
LinkedIn,Video,Commercial he push together unit.,3/5/2024 6:17,3/5/2024 (Tuesday),Weekday,6:17:02,Morning,971,28,131,4200,528,52.22,30,Adolescent Adults
Twitter,Video,Partner short why democratic.,3/5/2024 6:09,3/5/2024 (Tuesday),Weekday,6:09:57,Morning,893,222,67,5415,2652,18.52,30,Adolescent Adults
Instagram,Video,Natural various product fill audience break.,3/5/2024 5:32,3/5/2024 (Tuesday),Weekday,5:32:32,Night,155,64,129,8665,3744,23.7,19,Adolescent Adults
Facebook,Link,Apply strategy magazine college or good street commercial.,3/5/2024 5:18,3/5/2024 (Tuesday),Weekday,5:18:24,Night,54,360,185,7411,2398,42.96,27,Adolescent Adults
Twitter,Video,Sense fall along show party action.,3/5/2024 5:18,3/5/2024 (Tuesday),Weekday,5:18:03,Night,639,350,48,2435,1617,71.96,65,Senior Adults
Facebook,Video,Sister rate administration Mr suddenly young.,3/5/2024 5:13,3/5/2024 (Tuesday),Weekday,5:13:12,Night,691,291,85,9565,2105,100.49,23,Adolescent Adults
Instagram,Video,Day real stay like heavy.,3/5/2024 5:06,3/5/2024 (Tuesday),Weekday,5:06:57,Night,283,138,47,3711,2731,5.71,39,Mature Adults
Twitter,Video,Across message either sister be happy.,3/5/2024 4:58,3/5/2024 (Tuesday),Weekday,4:58:36,Night,599,22,168,3638,2380,87.24,37,Mature Adults
Instagram,Image,Check daughter although bed others.,3/5/2024 4:34,3/5/2024 (Tuesday),Weekday,4:34:11,Night,702,469,43,8466,3052,16.94,46,Senior Adults
Twitter,Link,Number politics side little anything.,3/5/2024 4:29,3/5/2024 (Tuesday),Weekday,4:29:52,Night,93,323,121,3289,1243,105.84,38,Mature Adults
Twitter,Link,Doctor morning institution product agreement tend Republican continue.,3/5/2024 4:29,3/5/2024 (Tuesday),Weekday,4:29:52,Night,869,114,161,5518,4160,42.29,62,Senior Adults
Instagram,Video,Store discuss water land both edge.,3/5/2024 4:22,3/5/2024 (Tuesday),Weekday,4:22:24,Night,41,80,168,3990,772,62.52,18,Adolescent Adults
Instagram,Link,Occur see lay management statement before plan.,3/5/2024 4:13,3/5/2024 (Tuesday),Weekday,4:13:48,Night,593,65,188,4298,3034,11.58,21,Adolescent Adults
Instagram,Image,Paper floor happy treat seat.,3/5/2024 4:07,3/5/2024 (Tuesday),Weekday,4:07:59,Night,410,193,80,9502,1840,82.33,37,Mature Adults
Instagram,Video,Pick growth great table care result.,3/5/2024 3:50,3/5/2024 (Tuesday),Weekday,3:50:36,Night,322,263,81,8501,2901,20.03,60,Senior Adults
Twitter,Video,Democratic site standard serious run far decade.,3/5/2024 3:34,3/5/2024 (Tuesday),Weekday,3:34:09,Night,531,355,159,2758,571,93.1,22,Adolescent Adults
Twitter,Link,Energy image second represent bad probably station.,3/5/2024 3:20,3/5/2024 (Tuesday),Weekday,3:20:45,Night,443,330,158,3143,2152,61.11,24,Adolescent Adults
LinkedIn,Video,Head one current pick require according.,3/5/2024 3:07,3/5/2024 (Tuesday),Weekday,3:07:16,Night,225,54,31,1923,1255,37.03,22,Adolescent Adults
Instagram,Image,There value book oil candidate speech.,3/5/2024 2:21,3/5/2024 (Tuesday),Weekday,2:21:52,Night,667,313,35,8782,2692,16.68,25,Adolescent Adults
Facebook,Video,Pull decade son story clearly two require.,3/5/2024 2:15,3/5/2024 (Tuesday),Weekday,2:15:56,Night,769,454,90,7365,3264,15.04,20,Adolescent Adults
Instagram,Link,Reach our author manager sense hit direction.,3/5/2024 2:04,3/5/2024 (Tuesday),Weekday,2:04:40,Night,831,91,75,5407,3278,23.89,21,Adolescent Adults
Facebook,Video,Simple door marriage worry rest tough as.,3/5/2024 1:57,3/5/2024 (Tuesday),Weekday,1:57:40,Night,343,264,190,4064,2011,23.16,44,Mature Adults
Facebook,Image,Couple commercial fund western.,3/5/2024 1:34,3/5/2024 (Tuesday),Weekday,1:34:44,Night,775,488,83,3108,1523,7.79,51,Senior Adults
Facebook,Link,Size between for theory suffer.,3/5/2024 1:27,3/5/2024 (Tuesday),Weekday,1:27:14,Night,610,337,58,9181,3844,16.28,30,Adolescent Adults
Instagram,Link,It kitchen course protect.,3/5/2024 1:22,3/5/2024 (Tuesday),Weekday,1:22:48,Night,882,356,99,7498,4192,31.23,61,Senior Adults
LinkedIn,Image,Market loss campaign above.,3/5/2024 0:45,3/5/2024 (Tuesday),Weekday,0:45:33,Night,446,82,150,4752,782,22.51,63,Senior Adults
LinkedIn,Image,Factor play who two.,3/5/2024 0:13,3/5/2024 (Tuesday),Weekday,0:13:13,Night,586,431,51,5562,2094,5.5,34,Mature Adults
Facebook,Video,Still generation assume close court per.,3/5/2024 0:02,3/5/2024 (Tuesday),Weekday,0:02:10,Night,65,346,13,6128,710,15.62,34,Mature Adults
Instagram,Video,Style but most.,3/5/2024 0:02,3/5/2024 (Tuesday),Weekday,0:02:06,Night,720,270,27,9110,1927,28.87,58,Senior Adults
Twitter,Video,Career animal suffer sound.,3/4/2024 23:56,3/4/2024 (Monday),Weekday,23:56:03,Night,884,427,85,6029,3883,10.05,52,Senior Adults
Facebook,Link,Everyone pattern travel discuss less.,3/4/2024 23:55,3/4/2024 (Monday),Weekday,23:55:56,Night,690,102,88,1428,1322,57.32,44,Mature Adults
Instagram,Link,First stop front music television account.,3/4/2024 23:25,3/4/2024 (Monday),Weekday,23:25:10,Night,375,271,105,1497,765,23.81,50,Senior Adults
Facebook,Link,Computer politics sign ahead push put deep.,3/4/2024 22:49,3/4/2024 (Monday),Weekday,22:49:41,Night,305,405,131,3033,1651,38.3,38,Mature Adults
Facebook,Link,Not knowledge us sound only game.,3/4/2024 22:46,3/4/2024 (Monday),Weekday,22:46:48,Night,27,3,78,9229,4102,8.55,37,Mature Adults
LinkedIn,Image,It Mrs with myself whether east.,3/4/2024 22:27,3/4/2024 (Monday),Weekday,22:27:30,Night,161,346,151,2736,1554,126.48,43,Mature Adults
LinkedIn,Image,Yes trouble develop available beautiful bill.,3/4/2024 22:08,3/4/2024 (Monday),Weekday,22:08:05,Night,599,380,63,2710,2123,18.5,34,Mature Adults
Facebook,Video,Ready card soldier front win after per.,3/4/2024 21:39,3/4/2024 (Monday),Weekday,21:39:46,Evening,507,77,55,3615,3257,25.96,59,Senior Adults
Instagram,Link,Treat amount serve your thus.,3/4/2024 21:15,3/4/2024 (Monday),Weekday,21:15:58,Evening,510,44,107,3905,2076,27.51,49,Senior Adults
Twitter,Image,Send collection spring size last stage yeah.,3/4/2024 21:13,3/4/2024 (Monday),Weekday,21:13:23,Evening,359,270,84,8066,887,18.75,48,Senior Adults
Facebook,Video,Appear reality mouth attorney plan.,3/4/2024 21:02,3/4/2024 (Monday),Weekday,21:02:15,Evening,821,193,118,3371,2743,59.89,34,Mature Adults
LinkedIn,Image,Scientist here tonight skill.,3/4/2024 20:53,3/4/2024 (Monday),Weekday,20:53:14,Evening,302,175,66,2913,1315,214.02,26,Adolescent Adults
LinkedIn,Image,Between listen make between environmental your.,3/4/2024 20:40,3/4/2024 (Monday),Weekday,20:40:19,Evening,928,135,49,8467,1347,44.57,26,Adolescent Adults
LinkedIn,Image,Factor protect actually fish that.,3/4/2024 20:33,3/4/2024 (Monday),Weekday,20:33:07,Evening,78,49,166,4670,3767,9.29,64,Senior Adults
Twitter,Link,Pull school far community say school left west.,3/4/2024 20:30,3/4/2024 (Monday),Weekday,20:30:41,Evening,679,277,180,4298,1116,24.98,42,Mature Adults
Instagram,Image,Box appear billion whole develop.,3/4/2024 20:14,3/4/2024 (Monday),Weekday,20:14:24,Evening,700,24,57,9337,1015,64.13,18,Adolescent Adults
Facebook,Video,Senior full study authority already think choice.,3/4/2024 20:10,3/4/2024 (Monday),Weekday,20:10:30,Evening,25,445,127,8956,1184,50.69,34,Mature Adults
LinkedIn,Video,Degree may southern.,3/4/2024 20:10,3/4/2024 (Monday),Weekday,20:10:07,Evening,598,395,90,5748,890,17.14,42,Mature Adults
Twitter,Video,Adult board point see environmental.,3/4/2024 20:06,3/4/2024 (Monday),Weekday,20:06:29,Evening,336,394,10,4627,4058,33.15,35,Mature Adults
LinkedIn,Link,Job simple step serve may baby police.,3/4/2024 19:44,3/4/2024 (Monday),Weekday,19:44:14,Evening,353,489,195,6068,1611,39.78,41,Mature Adults
Instagram,Image,Down action article more down product policy.,3/4/2024 19:35,3/4/2024 (Monday),Weekday,19:35:33,Evening,184,359,63,4802,3904,43.2,20,Adolescent Adults
LinkedIn,Link,Kind commercial list serve reduce.,3/4/2024 18:58,3/4/2024 (Monday),Weekday,18:58:28,Evening,745,451,107,5769,4859,27.5,37,Mature Adults
LinkedIn,Video,Yard production stage suggest.,3/4/2024 18:42,3/4/2024 (Monday),Weekday,18:42:21,Evening,662,383,14,5637,1707,37.44,48,Senior Adults
Facebook,Link,Theory trial eye recognize.,3/4/2024 18:40,3/4/2024 (Monday),Weekday,18:40:39,Evening,676,425,166,7737,2274,27.88,61,Senior Adults
Facebook,Video,Owner wait bring partner.,3/4/2024 17:42,3/4/2024 (Monday),Weekday,17:42:51,Afternoon,339,300,61,5889,1535,37.12,30,Adolescent Adults
Facebook,Video,Visit ok knowledge while hear business produce.,3/4/2024 17:39,3/4/2024 (Monday),Weekday,17:39:24,Afternoon,339,206,105,3963,1737,22.96,51,Senior Adults
Facebook,Video,Picture run politics husband help under store.,3/4/2024 17:20,3/4/2024 (Monday),Weekday,17:20:57,Afternoon,777,297,97,3239,2153,183.01,30,Adolescent Adults
Facebook,Video,Cell firm executive coach.,3/4/2024 16:53,3/4/2024 (Monday),Weekday,16:53:38,Afternoon,739,107,26,7009,1813,43.26,51,Senior Adults
LinkedIn,Video,Suffer play song development trouble.,3/4/2024 16:19,3/4/2024 (Monday),Weekday,16:19:02,Afternoon,139,20,73,4074,2795,24.7,33,Mature Adults
Twitter,Link,You clear account hope actually use book.,3/4/2024 16:11,3/4/2024 (Monday),Weekday,16:11:35,Afternoon,761,320,130,3468,2599,37.7,61,Senior Adults
Instagram,Link,Big interview answer determine daughter.,3/4/2024 16:07,3/4/2024 (Monday),Weekday,16:07:53,Afternoon,822,35,82,4861,2758,40.23,40,Mature Adults
Facebook,Image,Will economic glass summer.,3/4/2024 16:07,3/4/2024 (Monday),Weekday,16:07:34,Afternoon,366,261,8,4542,2126,30.41,40,Mature Adults
Twitter,Video,Present hope miss gas whole key total.,3/4/2024 15:59,3/4/2024 (Monday),Weekday,15:59:45,Afternoon,373,417,127,2912,1288,39.63,28,Adolescent Adults
Facebook,Image,Until sea bring report.,3/4/2024 15:47,3/4/2024 (Monday),Weekday,15:47:41,Afternoon,787,457,172,3808,1316,88.38,42,Mature Adults
LinkedIn,Link,To very mission.,3/4/2024 15:28,3/4/2024 (Monday),Weekday,15:28:20,Afternoon,562,171,189,8776,3089,26.14,57,Senior Adults
Twitter,Image,Front note speak nor arm only.,3/4/2024 15:10,3/4/2024 (Monday),Weekday,15:10:00,Afternoon,335,481,62,7382,1256,31.89,39,Mature Adults
LinkedIn,Video,Past alone building she follow skin give personal.,3/4/2024 15:05,3/4/2024 (Monday),Weekday,15:05:52,Afternoon,298,499,188,7215,940,86.7,40,Mature Adults
Twitter,Video,Kitchen friend bar month.,3/4/2024 15:02,3/4/2024 (Monday),Weekday,15:02:28,Afternoon,240,248,15,4533,2993,51,50,Senior Adults
Facebook,Image,Sense establish or agreement wall audience yard.,3/4/2024 14:41,3/4/2024 (Monday),Weekday,14:41:47,Afternoon,367,344,124,1419,1119,59.72,33,Mature Adults
Instagram,Image,Important yes important agree price try individual ask.,3/4/2024 14:19,3/4/2024 (Monday),Weekday,14:19:28,Afternoon,567,150,96,9078,3858,52.78,63,Senior Adults
LinkedIn,Link,Production north record arrive authority born break miss.,3/4/2024 14:19,3/4/2024 (Monday),Weekday,14:19:12,Afternoon,239,47,100,3827,2820,35.95,55,Senior Adults
Instagram,Video,Leg least word clearly company per.,3/4/2024 13:40,3/4/2024 (Monday),Weekday,13:40:19,Afternoon,713,310,54,3722,2747,66.57,36,Mature Adults
Instagram,Image,Bag add age election.,3/4/2024 13:33,3/4/2024 (Monday),Weekday,13:33:03,Afternoon,629,111,88,9483,975,98.17,21,Adolescent Adults
Instagram,Video,Employee choose camera car apply Democrat idea miss.,3/4/2024 13:21,3/4/2024 (Monday),Weekday,13:21:02,Afternoon,849,214,82,4044,3972,50.94,34,Mature Adults
Instagram,Video,Nature treat part door.,3/4/2024 12:35,3/4/2024 (Monday),Weekday,12:35:23,Afternoon,948,0,176,3606,1401,2.63,36,Mature Adults
Twitter,Image,Specific say source look build public pressure.,3/4/2024 12:31,3/4/2024 (Monday),Weekday,12:31:48,Afternoon,188,118,90,4653,2921,42.34,37,Mature Adults
LinkedIn,Link,Safe property eight suddenly offer none.,3/4/2024 12:22,3/4/2024 (Monday),Weekday,12:22:08,Afternoon,207,179,171,4633,1257,49.08,25,Adolescent Adults
Instagram,Video,Break value radio whatever me particularly store.,3/4/2024 12:13,3/4/2024 (Monday),Weekday,12:13:41,Afternoon,818,435,197,3019,2923,19.62,43,Mature Adults
Facebook,Link,Note travel gas professional well property me.,3/4/2024 12:06,3/4/2024 (Monday),Weekday,12:06:21,Afternoon,355,400,73,5996,3180,31.84,58,Senior Adults
Facebook,Link,Fine bank same feeling call information strategy.,3/4/2024 11:47,3/4/2024 (Monday),Weekday,11:47:13,Morning,750,305,146,5751,3589,80.38,37,Mature Adults
Twitter,Link,When something contain present woman job.,3/4/2024 11:32,3/4/2024 (Monday),Weekday,11:32:18,Morning,413,29,79,3600,2486,41.27,52,Senior Adults
Twitter,Video,Hundred government within eat record.,3/4/2024 11:21,3/4/2024 (Monday),Weekday,11:21:32,Morning,501,122,79,2373,2032,41.29,51,Senior Adults
Twitter,Video,President south information drive.,3/4/2024 10:59,3/4/2024 (Monday),Weekday,10:59:40,Morning,662,226,33,4932,1131,82.55,46,Senior Adults
Twitter,Link,Man police Republican agency relate claim stand.,3/4/2024 10:52,3/4/2024 (Monday),Weekday,10:52:55,Morning,880,112,22,2117,2051,7.78,50,Senior Adults
Instagram,Image,Some law street Republican reduce.,3/4/2024 10:28,3/4/2024 (Monday),Weekday,10:28:01,Morning,974,253,199,4422,816,101.79,36,Mature Adults
